"","second","volt"
"1",28.7,-0.0110313962548813
"2",28.725,-0.0147668636732793
"3",28.75,-0.0124733371558947
"4",28.775,-0.0086808154125767
"5",28.8,-0.0139292971548293
"6",28.825,-0.0116387810958086
"7",28.85,-0.00633926595032086
"8",28.875,0.000469249565179242
"9",28.9,0.0012467667325915
"10",28.925,0.00655328683217171
"11",28.95,-0.00323118885746665
"12",28.975,0.00357334094065098
"13",29,-0.00168312249813907
"14",29.025,0.000599422099864744
"15",29.05,-0.00314902399326966
"16",29.075,-0.00388845950710581
"17",29.1,-0.00462888317283627
"18",29.125,-0.00386029372328089
"19",29.15,-0.00610268989288421
"20",29.175,-0.00835607041771347
"21",29.2,-0.00759043403545745
"22",29.225,-0.00229577948542337
"23",29.25,-0.00606210550853481
"24",29.275,-0.00981941084733051
"25",29.3,-0.00453769424596095
"26",29.325,-0.00377695445018811
"27",29.35,-0.00904719020738176
"28",29.375,-0.008288400266518
"29",29.4,-0.00753058337817736
"30",29.425,-0.0128037382945423
"31",29.45,-0.00601786376939617
"32",29.475,-0.0112929585581193
"33",29.5,-0.00450902141768939
"34",29.525,-0.00525605110667726
"35",29.55,-0.00903404638524596
"36",29.575,-0.00677300601514841
"37",29.6,-0.00150292875972557
"38",29.625,-0.0067838133839041
"39",29.65,-0.0120656586541948
"40",29.675,-0.00528846333868971
"41",29.7,-0.00454222620706135
"42",29.725,-0.00831694603055899
"43",29.75,-0.00606262158200888
"44",29.775,-0.00833925163580995
"45",29.8,-0.00156683496793319
"46",29.825,0.00370462964408069
"47",29.85,0.00293514342112355
"48",29.875,0.00216470758252141
"49",29.9,0.00742332334603657
"50",29.925,0.00364099192787004
"51",29.95,0.00286771454266288
"52",29.975,0.003603492403499
"53",30,0.00433832672190593
"54",30.025,0.000552218707858154
"55",30.05,-0.00323483043022144
"56",30.075,-0.0055228194854603
"57",30.1,-0.00479174725253251
"58",30.125,-0.00406161252765891
"59",30.15,-0.00634241410860314
"60",30.175,-0.00260415079467091
"61",30.2,-0.00790682138670806
"62",30.225,-0.00115042468709736
"63",30.25,-0.00343495949975825
"64",30.275,-0.00120042463014314
"65",30.3,-0.00500681888523691
"66",30.325,-0.00428414107355435
"67",30.35,-0.00657239000513787
"68",30.375,-0.00284156449155581
"69",30.4,-0.00212166334590103
"70",30.425,-0.00743268538278763
"71",30.45,-0.00671462941835055
"72",30.475,-0.00448749427024242
"73",30.5,-0.00528127875763262
"74",30.525,-0.00305598170120436
"75",30.55,-0.00686160192315299
"76",30.575,-0.00916813824718476
"77",30.6,-0.00242558949851412
"78",30.625,-0.00321395450386208
"79",30.65,-0.00703323209145423
"80",30.675,-0.00632342109101869
"81",30.7,0.000415479666215579
"82",30.725,0.00565347134752092
"83",30.75,0.00786055511867245
"84",30.775,0.00404673214395057
"85",30.8,0.00324200358614302
"86",30.825,0.00545637060654569
"87",30.85,0.00766983436496604
"88",30.875,0.00535239601972315
"89",30.9,0.00605405672765169
"90",30.925,0.00675481764410268
"91",30.95,0.00444467992294495
"92",30.975,-0.00390635528343164
"93",31,0.00282171317588464
"94",31.025,-0.00251111354967071
"95",31.05,-0.00482483431213543
"96",31.075,-0.00111944796502006
"97",31.1,-0.000424953363304947
"98",31.125,0.000268650636561008
"99",31.15,-0.00506863482333764
"100",31.175,-0.00437680860238054
"101",31.2,-0.00971586956141046
"102",31.225,-0.00299581656273062
"103",31.25,-0.0053166484701036
"104",31.275,-0.0061383641487488
"105",31.3,-0.000930962465340746
"106",31.325,-0.00627444228800766
"107",31.35,-0.00558880248632887
"108",31.375,-0.00339404193133352
"109",31.4,0.00180984050450139
"110",31.425,-0.00504715405274669
"111",31.45,-0.00888502447844475
"112",31.475,-0.000663769649401846
"113",31.5,-0.00149338844386737
"114",31.525,-0.00684387974152911
"115",31.55,-0.000135242423511595
"116",31.575,0.000542524627625607
"117",31.6,0.0072494225278904
"118",31.625,0.00943545239185895
"119",31.65,0.00860061533267897
"120",31.675,0.0092749124620698
"121",31.7,0.0099483448903257
"122",31.725,0.0106209137263169
"123",31.75,0.00526262007749179
"124",31.775,0.00593346504987835
"125",31.8,0.000573449748086707
"126",31.825,0.00275257527530959
"127",31.85,0.0019108427333262
"128",31.875,0.00257825322250171
"129",31.9,-0.00278519215820927
"130",31.925,0.00240050768873912
"131",31.95,0.00156535385948431
"132",31.975,-0.000790652551241444
"133",32,-0.000127510450109947
"134",32.025,-0.000975218745194573
"135",32.05,0.00119622365403049
"136",32.075,-0.00417318216330709
"137",32.1,-0.00351343510947644
"138",32.125,-0.00285453409814163
"139",32.15,-0.00520647804435959
"140",32.175,-0.00605926586457883
"141",32.2,-0.00691289647663695
"142",32.225,-0.00474736879975979
"143",32.25,-0.00560268175455902
"144",32.275,-0.0049488342630305
"145",32.3,-0.00429582524855199
"146",32.325,-0.00364365363588226
"147",32.35,-0.00600231835115939
"148",32.375,0.00217818167810202
"149",32.4,0.0103678475230119
"150",32.425,0.0110166802533066
"151",32.45,0.0116646809373511
"152",32.475,0.0123118506421392
"153",32.5,0.0129581904332976
"154",32.525,0.0120937013750858
"155",32.55,0.00821838453039869
"156",32.575,0.00886224096076849
"157",32.6,0.00347527172636541
"158",32.625,0.0041174778860007
"159",32.65,0.00475886049712759
"160",32.675,0.00388942061584319
"161",32.7,9.15929689093709e-06
"162",32.725,0.000648077593660534
"163",32.75,0.00128617655819169
"164",32.775,-0.00410654275882505
"165",32.8,-0.00347007930804688
"166",32.825,0.00168556795852398
"167",32.85,0.000820400087540363
"168",32.875,-0.00156558187568612
"169",32.9,-0.000932376887184783
"170",32.925,-0.000299983904323564
"171",32.95,-0.00569840188580739
"172",32.975,-0.00657762979167714
"173",33,-0.00443766658330641
"174",33.025,-0.00229851122340102
"175",33.05,-0.00619016267599737
"176",33.075,-0.00255261990645966
"177",33.1,-0.00192588188147969
"178",33.125,0.00322005243092621
"179",33.15,-0.00368481593858178
"180",33.175,-5.0485960665092e-05
"181",33.2,0.00660304339269474
"182",33.225,0.0132557731481975
"183",33.25,0.00784770433122695
"184",33.275,0.0129888379658518
"185",33.3,0.00908917507482732
"186",33.325,0.0112187166795976
"187",33.35,0.010327463800296
"188",33.375,0.00642541745574859
"189",33.4,0.00553257866347456
"190",33.425,0.00614894843968855
"191",33.45,0.00676452779930153
"192",33.475,0.0028593177559233
"193",33.5,0.00196331932186367
"194",33.525,0.00257653350813447
"195",33.55,0.000178961324450944
"196",33.575,-0.00222939622076634
"197",33.6,-0.00161853812039037
"198",33.625,-0.0010084633685854
"199",33.65,0.00262082903919447
"200",33.675,0.00020934010620699
"201",33.7,0.000817070834423395
"202",33.725,-0.00309597777547038
"203",33.75,-0.000979804724071276
"204",33.775,-0.00339440901325794
"205",33.8,-0.00278978964618898
"206",33.825,-0.000675945627301111
"207",33.85,-0.00158287596230833
"208",33.875,-0.00701057965819901
"209",33.9,-0.000379055723235433
"210",33.925,-0.00580830316695141
"211",33.95,-0.00520832100015073
"212",33.975,-0.00460910823490629
"213",34,0.00201933611544286
"214",34.025,0.00864701303629167
"215",34.05,0.0122639235117721
"216",34.075,0.0158700685247539
"217",34.1,0.0104354490568458
"218",34.125,0.0110300660883987
"219",34.15,0.00861392059850574
"220",34.175,0.00467701356500461
"221",34.2,0.00677934596447921
"222",34.225,0.00737091877226059
"223",34.25,0.00193173296242971
"224",34.275,0.00403178950781802
"225",34.3,0.00311108938000954
"226",34.325,0.0036996335493425
"227",34.35,0.00428742298491025
"228",34.375,0.000354458654563905
"229",34.4,-0.000569258475086432
"230",34.425,1.62725613292447e-05
"231",34.45,0.00362105272794361
"232",34.475,-0.000324917012347881
"233",34.5,0.00176836430211608
"234",34.525,-0.00367910236823638
"235",34.55,-0.00309731606420904
"236",34.575,-0.00251627582783553
"237",34.6,-0.00193598070237844
"238",34.625,-0.00135642973232653
"239",34.65,-0.00379762196339434
"240",34.675,-0.00622955644251999
"241",34.7,0.000377767782136329
"242",34.725,-0.00356564833880685
"243",34.75,-0.00148980385594921
"244",34.775,0.0126553021788918
"245",34.8,0.00870967071268258
"246",34.825,0.0153133026911755
"247",34.85,0.00985619905890983
"248",34.875,0.0104283607592136
"249",34.9,0.0109997887342054
"250",34.925,0.0115704839247955
"251",34.95,0.00913044727068785
"252",34.975,0.00667967971038075
"253",35,0.0132781821811693
"254",35.025,0.00781595561914683
"255",35.05,0.005363000959206
"256",35.075,0.00291931913504107
"257",35.1,0.00348491107914806
"258",35.125,0.00404977772282777
"259",35.15,0.0015939199961868
"260",35.175,-0.00085266117186128
"261",35.2,-0.000289964853593672
"262",35.225,0.000272009877521906
"263",35.25,0.000833263946830587
"264",35.275,-0.00463620172151008
"265",35.3,0.00195361379547293
"266",35.325,0.00251271141956927
"267",35.35,5.1092071385539e-05
"268",35.375,-0.00240124332965114
"269",35.4,-0.00184429386529344
"270",35.425,-0.00580805861847139
"271",35.45,0.00227746332670953
"272",35.475,0.00434227288496825
"273",35.5,0.0124363709698515
"274",35.525,0.00695975849373431
"275",35.55,0.0135424363678217
"276",35.575,0.0125844055021501
"277",35.6,0.00861566680558884
"278",35.625,0.00916622118584198
"279",35.65,0.0127260695494495
"280",35.675,0.0102652128017888
"281",35.7,0.00478365184707646
"282",35.725,0.00684138758836883
"283",35.75,0.00587842092756513
"284",35.775,0.00642475276540738
"285",35.8,0.000940384001482719
"286",35.825,0.00751531553422491
"287",35.85,0.002029548260915
"288",35.875,0.00257308307768378
"289",35.9,-0.00291407912048702
"290",35.925,0.00365806256023643
"291",35.95,0.0041995090125419
"292",35.975,-0.0012897388720281
"293",36,0.00528031979692611
"294",36.025,-0.000210314091337482
"295",36.05,0.000328360351298407
"296",36.075,-0.000643655988187608
"297",36.1,0.00140363777604519
"298",36.125,-0.00408975747129786
"299",36.15,-0.000543840846646271
"300",36.175,-0.00301861146756238
"301",36.2,0.0095759315472595
"302",36.225,0.00558978907799518
"303",36.25,0.00461296200369149
"304",36.275,0.00665545120226829
"305",36.3,0.0117072575505194
"306",36.325,0.00921838192411478
"307",36.35,0.00673882519760044
"308",36.375,0.0087785882444017
"309",36.4,0.00779767193682357
"310",36.425,0.00832607714605255
"311",36.45,0.00583380474215806
"312",36.475,0.0033508555940932
"313",36.5,0.00387723056969724
"314",36.525,0.00591293053569647
"315",36.55,0.00492795635770582
"316",36.575,-0.000577691099770017
"317",36.6,0.00597598902666491
"318",36.625,0.00498899759929977
"319",36.65,0.000991335479317512
"320",36.675,0.00151300352679706
"321",36.7,0.00203400260071446
"322",36.725,0.00255433355894358
"323",36.75,5.39972582591086e-05
"324",36.775,-0.00243700544566378
"325",36.8,-0.00191867369824672
"326",36.825,-0.00140100664600729
"327",36.85,-0.000884003436557923
"328",36.875,-0.000367663218603653
"329",36.9,0.000148014858058543
"330",36.925,0.00217303164254146
"331",36.95,0.00117738798286926
"332",36.975,-0.00433891527402208
"333",37,-0.00382587728228195
"334",37.025,0.00120650280285534
"335",37.05,0.0032282258250721
"336",37.075,0.00825929262696889
"337",37.1,0.00424970405006525
"338",37.125,0.00927946093480225
"339",37.15,0.00526856412054288
"340",37.175,0.00125701444557352
"341",37.2,0.00628481274710624
"342",37.225,0.00830195986127863
"343",37.25,0.00729845662315654
"344",37.275,0.00177430386673494
"345",37.3,0.00227950242493941
"346",37.325,0.00278405312962704
"347",37.35,0.00629795681158823
"348",37.375,0.0037912143005483
"349",37.4,0.00429382642516835
"350",37.425,0.00328579401304691
"351",37.45,-0.000732882109278743
"352",37.475,-0.000232201116331654
"353",37.5,0.000267837816307015
"354",37.525,0.000767235511998754
"355",37.55,-0.00175400720695074
"356",37.575,0.000254110480709557
"357",37.6,-0.00376841060482236
"358",37.625,0.00124843035559952
"359",37.65,-0.00277536581992893
"360",37.675,0.00224020168563871
"361",37.7,-0.00178486631169822
"362",37.725,-0.00280056899698788
"363",37.75,-0.00381690555632269
"364",37.775,-0.00181387517683901
"365",37.8,0.000188522953284309
"366",37.825,-0.00383971035517233
"367",37.85,-0.00184857429246871
"368",37.875,-0.00436806804990286
"369",37.9,-0.00387819081980956
"370",37.925,0.00113105820444032
"371",37.95,0.00312967982844187
"372",37.975,0.00361767485675657
"373",38,0.00410504409291462
"374",38.025,0.00459178833941554
"375",38.05,0.00507790839773004
"376",38.075,0.00556340506830078
"377",38.1,1.82791505438096e-05
"378",38.125,0.00653253144285043
"379",38.15,0.00399616274258785
"380",38.175,0.0014691738461009
"381",38.2,-0.00407843445128681
"382",38.225,0.00243333864472806
"383",38.25,-0.00311550607256911
"384",38.275,-0.00112496781091087
"385",38.3,-0.00215504577904529
"386",38.325,-0.000165739186735125
"387",38.35,-0.00119704724475705
"388",38.375,-0.00523896916489924
"389",38.4,-0.00627150415996064
"390",38.425,0.000235348556249737
"391",38.45,-0.00531841023108448
"392",38.475,-0.00635277973778753
"393",38.5,-0.00436775918068849
"394",38.525,-0.00992334777762099
"395",38.55,-0.00643954474742175
"396",38.575,-0.00445634930992911
"397",38.6,-0.00850376068598219
"398",38.625,-0.00652177809741894
"399",38.65,-0.00455040076707519
"400",38.675,-0.00708962791878359
"401",38.7,-0.0126494587773719
"402",38.725,-0.0061498925686625
"403",38.75,-0.0117109285194699
"404",38.775,-0.00973256585760029
"405",38.8,-0.00474480381185022
"406",38.825,0.00175235838799487
"407",38.85,0.00522892151116156
"408",38.875,0.00268488632589048
"409",38.9,0.00315025359943677
"410",38.925,0.00210502409807173
"411",38.95,-0.00195080141291604
"412",38.975,-0.00148722216921915
"413",39,-0.00102423740751062
"414",39.025,-0.00207184636544205
"415",39.05,-0.0091500482816429
"416",39.075,-0.00415884239571851
"417",39.1,0.000821772051749659
"418",39.125,0.00128179581920734
"419",39.15,-0.0042887703358726
"420",39.175,-0.00382992565698925
"421",39.2,-0.00337166938861105
"422",39.225,-0.00442400077617583
"423",39.25,-0.00547691906608877
"424",39.275,-0.00653042350572158
"425",39.3,-0.0015445133434111
"426",39.325,-0.00561918782845772
"427",39.35,-0.00968444621112535
"428",39.375,-0.0062102877426386
"429",39.4,-0.0057567116751826
"430",39.425,-0.0113337172619012
"431",39.45,-0.00485130375689619
"432",39.475,-0.0043994704152262
"433",39.5,-0.00394821649290467
"434",39.525,-0.00952754124689925
"435",39.55,-0.00907744393513044
"436",39.575,-0.00862792381647015
"437",39.6,-0.00214898015074128
"438",39.625,-0.00623061219871551
"439",39.65,0.00175718077788761
"440",39.675,-0.000805600483598234
"441",39.7,-0.000358955246785364
"442",39.725,-0.00142288277622982
"443",39.75,-0.00248738233743118
"444",39.775,-0.00505245319683079
"445",39.8,-0.0106380946218105
"446",39.825,-0.00416430588069189
"447",39.85,-0.00674108624273489
"448",39.875,-0.0047884349781363
"449",39.9,-0.00283635135802873
"450",39.925,-0.0084248346544798
"451",39.95,-0.00497388414049021
"452",39.975,-0.00604349908999352
