x-axis,2
second,Volt
-5.00000E+00,+3.77E-03
-4.97500E+00,+3.77E-03
-4.95000E+00,-2.26E-03
-4.92500E+00,+3.77E-03
-4.90000E+00,+9.80E-03
-4.87500E+00,+3.77E-03
-4.85000E+00,+6.78E-03
-4.82500E+00,-2.26E-03
-4.80000E+00,+3.77E-03
-4.77500E+00,+8.29E-03
-4.75000E+00,+3.77E-03
-4.72500E+00,+3.77E-03
-4.70000E+00,-2.26E-03
-4.67500E+00,+3.77E-03
-4.65000E+00,+3.77E-03
-4.62500E+00,-2.26E-03
-4.60000E+00,+3.77E-03
-4.57500E+00,+2.26E-03
-4.55000E+00,+750E-06
-4.52500E+00,+3.77E-03
-4.50000E+00,+3.77E-03
-4.47500E+00,+3.77E-03
-4.45000E+00,+750E-06
-4.42500E+00,+3.77E-03
-4.40000E+00,+3.77E-03
-4.37500E+00,-2.26E-03
-4.35000E+00,+750E-06
-4.32500E+00,+3.77E-03
-4.30000E+00,+3.77E-03
-4.27500E+00,+2.26E-03
-4.25000E+00,+3.77E-03
-4.22500E+00,+3.77E-03
-4.20000E+00,+3.77E-03
-4.17500E+00,-2.26E-03
-4.15000E+00,+750E-06
-4.12500E+00,-2.26E-03
-4.10000E+00,+3.77E-03
-4.07500E+00,+2.26E-03
-4.05000E+00,+3.77E-03
-4.02500E+00,+3.77E-03
-4.00000E+00,-2.26E-03
-3.97500E+00,+8.29E-03
-3.95000E+00,+750E-06
-3.92500E+00,+8.29E-03
-3.90000E+00,-2.26E-03
-3.87500E+00,+3.77E-03
-3.85000E+00,+3.77E-03
-3.82500E+00,-750E-06
-3.80000E+00,+3.77E-03
-3.77500E+00,+3.77E-03
-3.75000E+00,+750E-06
-3.72500E+00,+3.77E-03
-3.70000E+00,+3.77E-03
-3.67500E+00,-750E-06
-3.65000E+00,+750E-06
-3.62500E+00,+3.77E-03
-3.60000E+00,+3.77E-03
-3.57500E+00,+3.77E-03
-3.55000E+00,+750E-06
-3.52500E+00,+3.77E-03
-3.50000E+00,+3.77E-03
-3.47500E+00,+3.77E-03
-3.45000E+00,+3.77E-03
-3.42500E+00,+3.77E-03
-3.40000E+00,-2.26E-03
-3.37500E+00,+3.77E-03
-3.35000E+00,+3.77E-03
-3.32500E+00,+3.77E-03
-3.30000E+00,+3.77E-03
-3.27500E+00,+3.77E-03
-3.25000E+00,+750E-06
-3.22500E+00,+3.77E-03
-3.20000E+00,+3.77E-03
-3.17500E+00,+3.77E-03
-3.15000E+00,+3.77E-03
-3.12500E+00,-750E-06
-3.10000E+00,+3.77E-03
-3.07500E+00,+2.26E-03
-3.05000E+00,+750E-06
-3.02500E+00,+2.26E-03
-3.00000E+00,+3.77E-03
-2.97500E+00,+3.77E-03
-2.95000E+00,+6.78E-03
-2.92500E+00,-2.26E-03
-2.90000E+00,-2.26E-03
-2.87500E+00,+3.77E-03
-2.85000E+00,+6.78E-03
-2.82500E+00,+3.77E-03
-2.80000E+00,-2.26E-03
-2.77500E+00,-750E-06
-2.75000E+00,+750E-06
-2.72500E+00,+3.77E-03
-2.70000E+00,+3.77E-03
-2.67500E+00,-750E-06
-2.65000E+00,+750E-06
-2.62500E+00,+3.77E-03
-2.60000E+00,+3.77E-03
-2.57500E+00,-2.26E-03
-2.55000E+00,+3.77E-03
-2.52500E+00,+3.77E-03
-2.50000E+00,+3.77E-03
-2.47500E+00,+3.77E-03
-2.45000E+00,+750E-06
-2.42500E+00,+3.77E-03
-2.40000E+00,+3.77E-03
-2.37500E+00,+3.77E-03
-2.35000E+00,+750E-06
-2.32500E+00,-750E-06
-2.30000E+00,+3.77E-03
-2.27500E+00,+750E-06
-2.25000E+00,+3.77E-03
-2.22500E+00,-2.26E-03
-2.20000E+00,+3.77E-03
-2.17500E+00,+3.77E-03
-2.15000E+00,+750E-06
-2.12500E+00,+3.77E-03
-2.10000E+00,-2.26E-03
-2.07500E+00,+750E-06
-2.05000E+00,+3.77E-03
-2.02500E+00,+2.26E-03
-2.00000E+00,+3.77E-03
-1.97500E+00,+5.28E-03
-1.95000E+00,+750E-06
-1.92500E+00,+2.26E-03
-1.90000E+00,-2.26E-03
-1.87500E+00,+2.26E-03
-1.85000E+00,+3.77E-03
-1.82500E+00,-2.26E-03
-1.80000E+00,+3.77E-03
-1.77500E+00,+3.77E-03
-1.75000E+00,+6.78E-03
-1.72500E+00,+2.26E-03
-1.70000E+00,-2.26E-03
-1.67500E+00,+3.77E-03
-1.65000E+00,+3.77E-03
-1.62500E+00,+3.77E-03
-1.60000E+00,+3.77E-03
-1.57500E+00,-750E-06
-1.55000E+00,+750E-06
-1.52500E+00,-2.26E-03
-1.50000E+00,+3.77E-03
-1.47500E+00,+8.29E-03
-1.45000E+00,+750E-06
-1.42500E+00,-2.26E-03
-1.40000E+00,+3.77E-03
-1.37500E+00,+3.77E-03
-1.35000E+00,+3.77E-03
-1.32500E+00,+3.77E-03
-1.30000E+00,+3.77E-03
-1.27500E+00,+9.80E-03
-1.25000E+00,+750E-06
-1.22500E+00,+3.77E-03
-1.20000E+00,+3.77E-03
-1.17500E+00,+2.26E-03
-1.15000E+00,+3.77E-03
-1.12500E+00,+3.77E-03
-1.10000E+00,+3.77E-03
-1.07500E+00,+3.77E-03
-1.05000E+00,+750E-06
-1.02500E+00,+3.77E-03
-1.00000E+00,-2.26E-03
-975.00E-03,+2.26E-03
-950.00E-03,+3.77E-03
-925.00E-03,+3.77E-03
-900.00E-03,-2.26E-03
-875.00E-03,+5.28E-03
-850.00E-03,+6.78E-03
